date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:04	106/106	---MCZ	200	added ('OK')	text/plain	date:Wed,%2011%20Dec%202024%2009:43:19%20GMT	https://7oroof.com/robots.txt		(from )
16:27:04	83062/83062	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2014:52:02%20GMT	https://7oroof.com/demos/medcity/?storefront=envato-elements	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/index04b9.html	(from )
16:27:04	1310/1310	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Mar%202023%2013:20:00%20GMT	https://7oroof.com/demos/medcity/assets/images/favicon/favicon.png	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/assets/images/favicon/favicon.png	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:05	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2274bab4578692993514e7f882cc15c218%22	https://use.fontawesome.com/releases/v5.15.3/css/all.css	C:/My%20Web%20Sites/Medicity/use.fontawesome.com/releases/v5.15.3/css/all.css	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:06	190910/190910	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Mar%202023%2013:19:23%20GMT	https://7oroof.com/demos/medcity/assets/css/libraries.css	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/assets/css/libraries.css	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:07	147079/147079	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Mar%202023%2013:19:23%20GMT	https://7oroof.com/demos/medcity/assets/css/style.css	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/assets/css/style.css	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:07	41901/41901	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:00%20GMT	https://7oroof.com/demos/medcity/appointment.html	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/appointment.html	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:08	27923/27923	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:02%20GMT	https://7oroof.com/demos/medcity/contact-us.html	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/contact-us.html	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:08	83062/83062	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2014:52:02%20GMT	https://7oroof.com/demos/medcity/index.html	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/index.html	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:08	2018/2018	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Mar%202023%2013:20:26%20GMT	https://7oroof.com/demos/medcity/assets/images/logo/logo-light.png	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/assets/images/logo/logo-light.png	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:08	2079/2079	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Mar%202023%2013:20:26%20GMT	https://7oroof.com/demos/medcity/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/assets/images/logo/logo-dark.png	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:09	67116/67116	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:11%20GMT	https://7oroof.com/demos/medcity/home-modern.html	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/home-modern.html	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
16:27:09	58352/58352	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:09%20GMT	https://7oroof.com/demos/medcity/home-classic.html	C:/My%20Web%20Sites/Medicity/7oroof.com/demos/medcity/home-classic.html	(from https://7oroof.com/demos/medcity/?storefront=envato-elements)
